"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
4,5,7.1627813060966-39.3045065387131i,337.719834049356,-4.35996064439647-6.32686038944863i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
5,6,45.6411425141684+0.338190779135i,226.042872430543,-6.57338851327794-1.48198332631911i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
5,6,5.12596424783057-2.75543031775783i,46.6606782134816,-9.03389066853454+0.26653347725791i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
5,6,14.3085073353253-7.6500506488615i,93.477606899983,-9.71493791603193-1.52679422203481i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
5,6,-4.2900815131046-64.8120743436193i,310.799252355089,-3.88292022689061-2.49446842852125i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
5,6,18.3353577557302+4.0200744062406i,105.034396176201,-6.85677333824817-0.03410859643844i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
5,6,-41.3590354017863+18.1598177391523i,223.77488235373,-5.03038751035075-0.97723423734101i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
5,6,23.3265466519382+12.7017438402481i,139.981099120971,-5.29759371435331-1.69226028681624i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
5,6,60.1262143949881-22.4201769135342i,309.223947721545,-6.57980240159585-4.21433143238475i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
5,6,-20.5733578237989-30.7084691236309i,186.186361824315,-10.0522399346599-2.9832362678827i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
5,6,-16.8943792319776-50.0941808520692i,256.902919206665,-4.1938340539011+1.01370462602441i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
6,7,-9.1037548548403+53.2266719110751i,584.771110209619,-32.4788226677805+31.0619425117952i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
6,7,-10.7964999350717+80.7968521712847i,872.43059991203,-23.802043930315+38.2170465150372i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
6,7,-3.6217611250032+76.4985668004851i,820.813443577568,-26.0722254578513+35.3737258744048i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
6,7,-10.7883188001113+78.680272894936i,850.482509531385,-25.2254492810604+33.492736510179i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
6,7,-9.0497971115463+65.9440591547494i,716.066499051767,-27.6582159882524+37.4631615789881i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
6,7,1.8044182732264+68.0236722998368i,731.518081394275,-23.2914378731406+39.6763578740669i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
